Building Name,Cleaned Name,Latitude,Longitude,Full Address
Audrey Geisel University House,AUDREY GEISEL UNIVERSITY HOUSE,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Azad,AZAD,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Bachman Place Parking,BACHMAN PLACE PARKING,32.7569014,-117.1645775,"Bachman Pl, San Diego, CA, USA"
Bannister Family House,BANNISTER FAMILY HOUSE,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Bates Hall,BATES HALL,32.8839542,-117.23213,"9820 Justice Ln, La Jolla, CA 92093, USA"
Beagle Hall,BEAGLE HALL,32.874122,-117.2426029,"9217 S Scholars Dr, La Jolla, CA 92093, USA"
BFS Laboratory and Growing Rooms,BFS LABORATORY AND GROWING ROOMS,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
BFS Main Building,BFS MAIN BUILDING,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Biology Building,BIOLOGY BUILDING,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Biomedical Sciences Building,BIOMEDICAL SCIENCES BUILDING,32.8765264,-117.2361206,"3120 Biomedical Sciences Wy, La Jolla, CA 92093, USA"
Birch Aquarium at Scripps,BIRCH AQUARIUM AT SCRIPPS,32.8658136,-117.250639,"2300 Expedition Way, La Jolla, CA 92037, USA"
Birch Aquarium Booth,BIRCH AQUARIUM BOOTH,32.8658136,-117.250639,"2300 Expedition Way, La Jolla, CA 92037, USA"
Birch Aquarium Education Trailer,BIRCH AQUARIUM EDUCATION TRAILER,32.8658136,-117.250639,"2300 Expedition Way, La Jolla, CA 92037, USA"
Black Apartments,BLACK APARTMENTS,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Black's Beach Restrooms,BLACK'S BEACH RESTROOMS,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Black's Beach Storage,BLACK'S BEACH STORAGE,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Blackhorse,BLACKHORSE,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Blake Hall,BLAKE HALL,32.8749765,-117.2417333,"Blake Hall, San Diego, CA 92161, USA"
Bonner Hall,BONNER HALL,32.8754094,-117.2403292,"Bonner Hall, San Diego, CA 92161, USA"
Bravery,BRAVERY,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Brennan Apartments,BRENNAN APARTMENTS,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Brian C. Malk Hall,BRIAN C. MALK HALL,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Brisa,BRISA,32.881168,-117.2343605,"9500 Gilman Dr, La Jolla, CA 92093, USA"
Brown Hall,BROWN HALL,32.8834737,-117.2322678,"Brown Hall, Justice Ln, La Jolla, CA 92093, USA"
